relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid
associated_with	PAH	Compound	MESH:D011084	particulate matter (PM)	Compound	MESH:D052638	"We sought also to better investigate the toxicological effects of organic extractable matter (OEM) in normal human bronchial epithelial lung BEAS-2B cells. The wide variety of chemicals, including PAH and other related-chemicals, found in OEM"	30743243
upregulated_in	1B1	Gene	ENTREZ:1545	PAH	Compound	MESH:D011084	"According to the high concentrations of PAH and other related organic chemicals found in this OEM, CYP1A1 and 1B1 genes exhibited high transcription levels in BEAS-2B cells, thereby supporting both the activation of the critical AhR signaling pathway and the formation of highly reactive ultimate metabolites."	30743243
biomarker	cystatin-C	Gene	ENTREZ:13010	kidney	Anatomy	MESH:D007668	"Moreover, increases in the levels of early kidney damage markers were observed after subchronic PM2.5 exposure: the most sensitive markers, β-2-microglobulin and cystatin-C, increased during the first, second, sixth and eighth weeks of exposure."	27955691
increased_by	cystatin-C	Gene	ENTREZ:13010	PM2.5	Compound	MESH:D052638	"Moreover, increases in the levels of early kidney damage markers were observed after subchronic PM2.5 exposure: the most sensitive markers, β-2-microglobulin and cystatin-C, increased during the first, second, sixth and eighth weeks of exposure."	27955691
associated_with	diabetes	Disease	MONDO:0005015	PM2.5	Compound	MESH:D052638	Both epidemiologic and controlled exposure studies in humans and animals have demonstrated an association between air pollution exposure and metabolic disorders such as diabetes.	31757983
induced_by	hypertension	Disease	MESH:D000075222	PM2.5	Compound	MESH:D052638	"Our present study indicated that long-term exposure of PM2.5 increases blood pressure by decreasing D1 receptor expression and function; reactive oxygen species, via regulation of GRK4 expression, plays an important role in the pathogenesis of PM2.5-induced hypertension."	29307864
increased_by	GRK4	Gene	ENTREZ:14772	PM2.5	Compound	MESH:D052638	The downregulation of D1 receptor expression and function might be attributable to a higher GRK4 expression after the exposure of renal proximal tubule cells to PM2.5	29307864
associated_with	GRK4	Gene	ENTREZ:14772	D1 receptor	Gene	ENTREZ:13488	The downregulation of D1 receptor expression and function might be attributable to a higher GRK4 expression after the exposure of renal proximal tubule cells to PM2.5	29307864
biomarker	PRSS23	Gene	ENTREZ:11098	PM2.5	Compound	MESH:D052638	"Based on the identification of the selected DEPs, PRSS23 and SLC39A10 might be the potential biomarker of PM2.5-induced carcinogenesis, which provide the scientific basis for further research into the carcinogenic mechanisms of PM2.5."	33387776
biomarker	SLC39A10	Gene	ENTREZ:57181	PM2.5	Compound	MESH:D052638	"Based on the identification of the selected DEPs, PRSS23 and SLC39A10 might be the potential biomarker of PM2.5-induced carcinogenesis, which provide the scientific basis for further research into the carcinogenic mechanisms of PM2.5."	33387776
biomarker	tetrahydrobiopterin	Metabolite	HMDB:HMDB0000027	Myalgic encephalomyelitis or chronic fatigue syndrome	Disease	MONDO:0005404	These findings suggest that the regulation of BH4 metabolism could be a promising target for understanding the molecular mechanism of CFS and CFS with OI.	37240059
Hetionet::DlA::Disease:Anatomy	histomorphological manifestations of hippocampal CA1 region	Anatomy	MESH:D056547	chronic fatigue syndrome	Disease	MONDO:0005404	"TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF."	37186194
upregulated_in	JNKs	Gene	ENTREZ:26419	PM2.5	Compound	MESH:D052638	"A Western blots study showed up-regulation of phosphorylated MAPKs including extracellular signal-regulated protein kinases (ERKs), c-Jun NH2-terminal kinases (JNKs) and p38 MAPK in the PM2.5-treated cells."	26472149
activated_by	MAPKs signaling pathway	Pathway	KEGG:hsa04010	PM2.5	Compound	MESH:D052638	PM2.5 decreases cell viability and increases apoptosis by enhancing intracellular ROS production and activating the MAPKs signaling pathway in H9c2 cells.	26472149
upregulated_in	TRPC3	Gene	ENTREZ:22065	PM2.5	Compound	MESH:D052638	"Among them the up-regulation of TRPC3 potentially played an important role in the electrophysiological alteration of PM2.5 on hiPSC-CMs, which could be ameliorated by pretreatment with pyr3, the inhibitor of TRPC3."	30806761
increased_by	ICAM-1	Gene	ENTREZ:15894	PM2.5	Compound	MESH:D052638	"Prolonged exposure to PM2.5 inhalation promotes significant upregulation of ICAM-1 and CRP expression in myocardial tissues, ultrastructural alterations in myocardial cells, and influx of inflammatory cells."	34787871
associated_with	cardiovascular dysfunction	Disease	MONDO:0004995	PM2.5	Compound	MESH:D052638	"Numerous studies show association of particular matter (PM) in air pollution with cardiovascular dysfunction, and increased morbidity and mortality."	34787871
associated_with	COPD	Disease	MONDO:0005002	PM2.5	Compound	MESH:D052638	Cold stress may aggravate PM2.5-induced toxic effects in the lung of COPD rats through increasing Ang-Ⅱ/NF-κB signaling pathway and suppressing Nrf2 signaling pathway.	29793105
increased_by	MCP-1	Gene	ENTREZ:17224	PM2.5	Compound	MESH:D052638	"There were significant positive relationships between PM2.5 and lung level of iNOS, TNF-α, MCP-1 and Ang-Ⅱ, lung function and pathologic damage in COPD rats."	29793105
associated_with	angiotensin	Metabolite	HMDB:HMDB0061196	PM2.5	Compound	MESH:D052638	Subchronic exposure to PM2.5 induced an early kidney damage response that involved the angiotensin/bradykinin systems as well as antioxidant and immune imbalance.	27955691
associated_with	renal tissue	Anatomy	MESH:D007668	PM2.5	Compound	MESH:D052638	"PM2.5 exposure is associated with a glomerular filtration rate (GFR) reduction, and renal tissue damage."	33460805
increased_by	IL-6	Gene	ENTREZ:3569	PM2.5	Compound	MESH:D052638	"Urinary IL-6 increased after exposure to PM2.5, whereas in kidney cortex decreased."	33460805
reduced_by	D1 receptor	Gene	ENTREZ:13488	PM2.5	Compound	MESH:D052638	"Our present study indicated that long-term exposure of PM2.5 increases blood pressure by decreasing D1 receptor expression and function; reactive oxygen species, via regulation of GRK4 expression, plays an important role in the pathogenesis of PM2.5-induced hypertension."	29307864
associated_with	calcium	Metabolite	HMDB:HMDB0000464	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	"Many skeletal muscle diseases such as muscular dystrophy, myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS), and sarcopenia share the dysregulation of calcium (Ca2+) as a key mechanism of disease at a cellular level."	37177559
Hetionet::DuG::Disease:Gene	extracellular regulatory protein kinase	Gene	ENTREZ:5594	chronic fatigue syndrome	Disease	MONDO:0005404	"TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF."	37186194
reduced_by	benzoate	Metabolite	HMDB:HMDB0304270	Myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	"These revealed potential functional mechanisms underlying disease onset and duration, including reduced microbial butyrate biosynthesis and a reduction in plasma butyrate, bile acids, and benzoate."	36758521
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	Long COVID	Disease	MONDO:0100233	"COVID-19, with persistent and new onset of symptoms such as fatigue, post-exertional malaise, and cognitive dysfunction that last for months and impact everyday functioning, is referred to as Long COVID under the general category of post-acute sequelae of SARS-CoV-2 infection (PASC)."	36947108
HSDN::has_symptom:Disease:Symptom	pain	Symptom	SYMP:0000099	Fibromyalgia	Disease	MONDO:0005546	"Fibromyalgia (FM) is a chronic pain disorder with unclear pathophysiological mechanisms, which leads to challenges in patient management. In addition to pain, the disorder presents with a broad range of symptoms, such as sleep disruption, chronic fatigue, brain fog, depression, muscle stiffness, and migraine."	36831148
downregulated_in	NO2	Compound	MESH:D000393	Al	Compound	DrugBank:DB01370	"Increases in PM2.5 and Zn in the pleural effusion increased the risk of malignant pleural effusion in lung cancer patients (adjusted OR=1.517; 95% CI=1.082-2.127 for PM2.5; adjusted OR=1.002, 95% CI=1.000-1.005 for Zn)."	33396138
Hetionet::DdG::Disease:Gene	DDIT3	Gene	ENTREZ:1649	myalgic encephalomeyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	"Specifically, genes related to cytokine signaling were overexpressed (CISH and CCR2), while genes related to helping protect cells from the adverse effects of stress were downregulated (HSPA1B and DDIT3)."	36769022
alleviated_by	TRPC3	Gene	ENTREZ:22065	cardiac arrhythmias	Disease	MONDO:0005390	"In conclusion, our results demonstrated that exposure to PM2.5 was capable of increasing propensity to cardiac arrhythmias which could be attenuated with TRPC3 inhibition."	30806761
induced_by	cardiac arrhythmias	Disease	MONDO:0005390	PM2.5	Compound	MESH:D052638	"In conclusion, our results demonstrated that exposure to PM2.5 was capable of increasing propensity to cardiac arrhythmias which could be attenuated with TRPC3 inhibition."	30806761
increased_by	CRP	Gene	ENTREZ:12944	PM2.5	Compound	MESH:D052638	"Prolonged exposure to PM2.5 inhalation promotes significant upregulation of ICAM-1 and CRP expression in myocardial tissues, ultrastructural alterations in myocardial cells, and influx of inflammatory cells."	34787871
increased_by	TNF-α	Gene	ENTREZ:21926	PM2.5	Compound	MESH:D052638	"There were significant positive relationships between PM2.5 and lung level of iNOS, TNF-α, MCP-1 and Ang-Ⅱ, lung function and pathologic damage in COPD rats."	29793105
reduced_by	Nrf2	Gene	ENTREZ:18024	PM2.5	Compound	MESH:D052638	"The HO-1, NF-κB and 8-OHdG were found highly expressed in COPD rat lung, particularly at the higher PM2.5 dose of cold stress groups, while Nrf2 was found declined."	29793105
associated_with	bradykinin	Metabolite	HMDB:HMDB0004246	PM2.5	Compound	MESH:D052638	Subchronic exposure to PM2.5 induced an early kidney damage response that involved the angiotensin/bradykinin systems as well as antioxidant and immune imbalance.	27955691
induced_by	carcinogenesis	Disease	MESH:D063646	PM2.5	Compound	MESH:D052638	"Based on the identification of the selected DEPs, PRSS23 and SLC39A10 might be the potential biomarker of PM2.5-induced carcinogenesis, which provide the scientific basis for further research into the carcinogenic mechanisms of PM2.5."	33387776
Hetionet::DuG::Disease:Gene	cyclic adenosine response element binding protein	Gene	ENTREZ:1385	chronic fatigue syndrome	Disease	MONDO:0005404	"TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF."	37186194
Hetionet::DuG::Disease:Gene	brain-derived neurotrophic factor	Gene	ENTREZ:627	chronic fatigue syndrome	Disease	MONDO:0005404	"TEAS can improve the learning and memory ability of CFS rats, the mechanisms may be related to improving the neural structure of hippocampal CA1 region and up-regulating the expression levels of ERK/CREB/BDNF."	37186194
associated_with	steroids	Metabolite	HMDB:HMDB0000145	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	acyl carnitines	Metabolite	HMDB:HMDB0006510	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	taurine	Pathway	KEGG:hsa00430	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	isoleucine	Pathway	WikiPathways:WP4686	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	polyamine	Pathway	REACT:R-MMU-351202	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	urea cycle	Pathway	REACT:R-HSA-70635	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
activated_by	SCF	Compound	MESH:D019089	Akt activation	Pathway	REACT:R-MMU-198203	Treatment with SCF increased the frequency of Bcl-2/Bcl-XL-positive bone marrow erythroid cells and sustained Akt activation in megakaryocytes	21868766
induced_by	myocardial fibrosis	Disease	MONDO:0006746	PM2.5	Compound	MESH:D052638	"PM2.5 dripped into trachea in mice model activated the expression of Ang II, ERK1/2, and TGF-β1. The activation of renin-angiotensin system (RAS) was suggested to participate in the cardiac fibrosis induced by PM2.5."	33726569
induced_by	OPA1	Gene	ENTREZ:74143	PM2.5	Compound	MESH:D052638	"The levels of LDH, AST, and CM-KB and the expression of OPA1, Mfn1, Drp1, and Fis1 in offspring mice of PM2.5 exposure groups increased with the increase of PM2.5 exposure dose, and were significantly higher than that of the control group (P<0.05)."	28801545
induced_by	Drp1	Gene	ENTREZ:74006	PM2.5	Compound	MESH:D052638	"The levels of LDH, AST, and CM-KB and the expression of OPA1, Mfn1, Drp1, and Fis1 in offspring mice of PM2.5 exposure groups increased with the increase of PM2.5 exposure dose, and were significantly higher than that of the control group (P<0.05)."	28801545
reduced_by	ICAM-1	Gene	ENTREZ:3383	LY294002	Compound	DrugBank:DB02656	"Furthermore, an AKT inhibitor (LY294002), NF-κB inhibitor (BAY11-7082), and STAT3 inhibitor (Stattic) significantly down-regulated O-PMs-induced ICAM-1 expression as well as the adhesion of U937 cells to epithelial cells."	29329563
reduced_by	ICAM-1	Gene	ENTREZ:3383	Stattic	Compound	MESH:C517409	"Furthermore, an AKT inhibitor (LY294002), NF-κB inhibitor (BAY11-7082), and STAT3 inhibitor (Stattic) significantly down-regulated O-PMs-induced ICAM-1 expression as well as the adhesion of U937 cells to epithelial cells."	29329563
increased_by	ICAM-1	Gene	ENTREZ:3383	Particulate matters (PMs)	Compound	MESH:D052638	These results suggest that PMs increase ICAM-1 expression in pulmonary epithelial cells in vitro and in vivo through the IL-6/AKT/STAT3/NF-κB signaling pathway.	29329563
upregulated_in	IL-6	Gene	ENTREZ:3569	chronic obstructive pulmonary disease (COPD)	Disease	MONDO:0005002	"Furthermore, patients with chronic obstructive pulmonary disease (COPD) had higher plasma levels of ICAM-1 and IL-6 compared to healthy subjects"	29329563
associated_with	chronic obstructive pulmonary disease (COPD)	Disease	MONDO:0005002	Particulate matters (PMs)	Compound	MESH:D052638	Epidemiological studies have shown that ambient air pollution is closely associated with increased respiratory inflammation and decreased lung function. Particulate matters (PMs) are major components of air pollution that damages lung cells.	29329563
induced_by	acute kidney injury	Disease	MONDO:0002492	PM2.5	Compound	MESH:D052638	CEOs (compound essential oils) have been widely used because of their antioxidant and anti-inflammation properties. Treatment with CEOs substantially attenuated PM2.5-induced acute kidney injury.	30151074
reduced_by	triiodothyronine	Metabolite	HMDB:HMDB0003036	PM2.5	Compound	MESH:D052638	"Serum levels of triiodothyronine, thyroxine, and thyroid stimulating hormone were significantly decreased, plasma NF-κB level was increased and plasma redox state was unbalanced (enhanced ROS, MDA and Gpx levels; reduced SOD activities) in female rats treated with PM2.5 (P < 0.05)."	33396051
reduced_by	thyroxine	Metabolite	HMDB:HMDB0002728	PM2.5	Compound	MESH:D052638	"Serum levels of triiodothyronine, thyroxine, and thyroid stimulating hormone were significantly decreased, plasma NF-κB level was increased and plasma redox state was unbalanced (enhanced ROS, MDA and Gpx levels; reduced SOD activities) in female rats treated with PM2.5 (P < 0.05)."	33396051
increased_by	sodium iodide symporter	Gene	ENTREZ:114479	PM2.5	Compound	MESH:D052638	"PM2.5 treatment suppressed the biosynthesis and biotransformation of THs by increasing sodium iodide symporter, thyroid transcription factor 1, thyroid transcription factor 2, and paired box 8 protein expression levels (P < 0.05)."	33396051
associated_with	thyroid	Anatomy	MESH:D013961	PM2.5	Compound	MESH:D052638	Activation of the HPT axis and altered hepatic transthyretin levels therefore appear to play a crucial role in PM2.5-induced thyroid dysfunction.	33396051
biomarker	cytotoxicity	BiologicalProcess	GO:0002370	ME/CFS	Disease	MONDO:0005404	"Reduced natural killer (NK) cell count and cytotoxicity has been investigated as a biomarker for ME/CFS, but few clinical laboratories offer the test and multi-site verification studies have not been conducted."	37013608
associated_with	acyl glycines	Metabolite	HMDB:HMDB0000123	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	cysteine	Pathway	KEGG:hsa00270	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
HSDN::has_symptom:Disease:Symptom	post-exertional malaise	Symptom	SYMP:0019176	Long COVID	Disease	MONDO:0100233	"COVID-19, with persistent and new onset of symptoms such as fatigue, post-exertional malaise, and cognitive dysfunction that last for months and impact everyday functioning, is referred to as Long COVID under the general category of post-acute sequelae of SARS-CoV-2 infection (PASC)."	36947108
increased_by	PM2.5	Compound	MESH:D052638	cardiovascular adverse events	Disease	MONDO:0004995	PM2.5 has implications in cardiovascular adverse events	30597786
induced_by	cardiovascular outcomes	Disease	MONDO:0004995	PM2.5	Compound	MESH:D052638	PM2.5 exposure during the critical in utero period adversely affects the developing mouse fetus leading to functional cardiac changes that were evident during the very early (14 days) stages of adolescence.	28649039
induced_by	Mfn1	Gene	ENTREZ:67414	PM2.5	Compound	MESH:D052638	"The levels of LDH, AST, and CM-KB and the expression of OPA1, Mfn1, Drp1, and Fis1 in offspring mice of PM2.5 exposure groups increased with the increase of PM2.5 exposure dose, and were significantly higher than that of the control group (P<0.05)."	28801545
induced_by	Fis1	Gene	ENTREZ:66437	PM2.5	Compound	MESH:D052638	"The levels of LDH, AST, and CM-KB and the expression of OPA1, Mfn1, Drp1, and Fis1 in offspring mice of PM2.5 exposure groups increased with the increase of PM2.5 exposure dose, and were significantly higher than that of the control group (P<0.05)."	28801545
reduced_by	ICAM-1	Gene	ENTREZ:3383	BAY11-7082	Compound	MESH:C434003	"Furthermore, an AKT inhibitor (LY294002), NF-κB inhibitor (BAY11-7082), and STAT3 inhibitor (Stattic) significantly down-regulated O-PMs-induced ICAM-1 expression as well as the adhesion of U937 cells to epithelial cells."	29329563
reduced_by	ICAM-1	Gene	ENTREZ:3383	tocilizumab (TCZ)	Compound	DrugBank:DB06273	"Furthermore, an AKT inhibitor (LY294002), NF-κB inhibitor (BAY11-7082), and STAT3 inhibitor (Stattic) significantly down-regulated O-PMs-induced ICAM-1 expression as well as the adhesion of U937 cells to epithelial cells."	29329563
upregulated_in	ICAM-1	Gene	ENTREZ:3383	chronic obstructive pulmonary disease (COPD)	Disease	MONDO:0005002	"Furthermore, patients with chronic obstructive pulmonary disease (COPD) had higher plasma levels of ICAM-1 and IL-6 compared to healthy subjects"	29329563
increased_by	IL-6	Gene	ENTREZ:3569	Particulate matters (PMs)	Compound	MESH:D052638	These results suggest that PMs increase ICAM-1 expression in pulmonary epithelial cells in vitro and in vivo through the IL-6/AKT/STAT3/NF-κB signaling pathway.	29329563
alleviated_by	acute kidney injury	Disease	MONDO:0002492	CEOs (compound essential oils)	Compound	MESH:C087245	CEOs (compound essential oils) have been widely used because of their antioxidant and anti-inflammation properties. Treatment with CEOs substantially attenuated PM2.5-induced acute kidney injury.	30151074
increased_by	NF-κB	Gene	ENTREZ:18033	PM2.5	Compound	MESH:D052638	"Serum levels of triiodothyronine, thyroxine, and thyroid stimulating hormone were significantly decreased, plasma NF-κB level was increased and plasma redox state was unbalanced (enhanced ROS, MDA and Gpx levels; reduced SOD activities) in female rats treated with PM2.5 (P < 0.05)."	33396051
increased_by	thyroid transcription factor 2	Gene	ENTREZ:110805	PM2.5	Compound	MESH:D052638	"PM2.5 treatment suppressed the biosynthesis and biotransformation of THs by increasing sodium iodide symporter, thyroid transcription factor 1, thyroid transcription factor 2, and paired box 8 protein expression levels (P < 0.05)."	33396051
induced_by	thyroid dysfunction	Disease	MONDO:0003240	PM2.5	Compound	MESH:D052638	Activation of the HPT axis and altered hepatic transthyretin levels therefore appear to play a crucial role in PM2.5-induced thyroid dysfunction.	33396051
increased_by	diabetes mellitus	Disease	MONDO:0005015	Cigarette smoking	Compound	MESH:D062789	"Cigarette smoking (CS) or ambient particulate matter (PM) exposure is a risk factor for metabolic disorders, such as insulin resistance (IR), increased plasma triglycerides, hyperglycemia, and diabetes mellitus (DM);"	36980242
increased_by	diabetes mellitus	Disease	MONDO:0005015	particulate matter	Compound	MESH:D052638	"Cigarette smoking (CS) or ambient particulate matter (PM) exposure is a risk factor for metabolic disorders, such as insulin resistance (IR), increased plasma triglycerides, hyperglycemia, and diabetes mellitus (DM);"	36980242
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	ANCA-vasculitis	Disease	MONDO:0019988	A large proportion of AAV patients suffer from debilitating fatigue consequential enough to meet the diagnostic criteria for ME/CFS.	36890852
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	myalgic encephalomyelitis/chronic fatigue syndrome	Disease	MONDO:0005404	A large proportion of AAV patients suffer from debilitating fatigue consequential enough to meet the diagnostic criteria for ME/CFS.	36890852
associated_with	methionine	Pathway	KEGG:hsa00270	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
associated_with	leucine	Pathway	WikiPathways:WP4686	ME/CFS	Disease	MONDO:0005404	"Using a linear mixed effects model, pathway enrichment analysis, topology analysis, and correlations between urine and plasma metabolite levels, significant differences were discovered between controls and ME/CFS patients in many lipid (steroids, acyl carnitines and acyl glycines) and amino acid subpathways (cysteine, methionine, SAM, and taurine; leucine, isoleucine, and valine; polyamine; tryptophan; and urea cycle, arginine and proline)."	36835097
reduced_by	GATA4	Gene	ENTREZ:14463	PM2.5	Compound	MESH:D052638	"PM2.5 exposure resulted in significantly decreased Nkx2-5 protein level and GATA4 and Nkx2-5 mRNA expressions, and significantly increased TNF-α and IL-1β levels."	27203204
increased_by	TNF-α	Gene	ENTREZ:21926	PM2.5	Compound	MESH:D052638	"PM2.5 exposure resulted in significantly decreased Nkx2-5 protein level and GATA4 and Nkx2-5 mRNA expressions, and significantly increased TNF-α and IL-1β levels."	27203204
increased_by	IL-1β	Gene	ENTREZ:16176	PM2.5	Compound	MESH:D052638	"PM2.5 exposure resulted in significantly decreased Nkx2-5 protein level and GATA4 and Nkx2-5 mRNA expressions, and significantly increased TNF-α and IL-1β levels."	27203204
increased_by	congenital cardiovascular diseases	Disease	MONDO:0004995	PM2.5	Compound	MESH:D052638	"These results suggest that maternal exposure to PM2.5 , even at the ambient levels in urban regions in China, exaggerates filial cardiovascular maldevelopment induced by HCY in a murine model, exacerbating structural abnormalities in the filial cardiac tissue, which is possibly associated with oxidative stress and reduced GATA4 and Nkx2-5 transcription factor expressions."	27203204
activated_by	JAK1/STAT3	Pathway	REACT:R-HSA-198745	PM2.5	Compound	MESH:D052638	These results show that PM2.5 triggered endothelial activation via upregulation of the IL-6 dependent JAK1/STAT3 signaling pathway.	30090403
increased_by	TNF-a	Gene	ENTREZ:21926	PM2.5	Compound	MESH:D052638	"PM2.5 increased the intracellular levels of proinflammatory cytokines (IL-6, TNF-a, IL-1β, IL-8 and CRP), cell adhesion molecules (ICAM-1, VCAM-1) and tissue factor (TF), resulted in endothelial activation."	30090403
increased_by	IL-8	Gene	ENTREZ:20309	PM2.5	Compound	MESH:D052638	"PM2.5 increased the intracellular levels of proinflammatory cytokines (IL-6, TNF-a, IL-1β, IL-8 and CRP), cell adhesion molecules (ICAM-1, VCAM-1) and tissue factor (TF), resulted in endothelial activation."	30090403
increased_by	ICAM-1	Gene	ENTREZ:15894	PM2.5	Compound	MESH:D052638	"PM2.5 increased the intracellular levels of proinflammatory cytokines (IL-6, TNF-a, IL-1β, IL-8 and CRP), cell adhesion molecules (ICAM-1, VCAM-1) and tissue factor (TF), resulted in endothelial activation."	30090403
induced_by	myocardial infarction (MI)	Disease	MONDO:0005068	diesel particulate matter [DPM]	Compound	MESH:D052638	"Based on these results, we conclude that DPM alters the electrophysiology and ultrastructure of the heart that aggravates the MI-induced cardiotoxicity, where the diminished mitochondrial quality can be the potential contributor."	35290147
downregulated_in	TFAM	Gene	ENTREZ:21780	diesel particulate matter [DPM]	Compound	MESH:D052638	"Subsequent induction of MI in DPM exposed animals (DPM + ISO) further deteriorated the normal sinus rhythm, accompanied by elevated plasma CK and LDH level, increased myocardial caspase activity, downregulation of Peroxisome proliferator-activated receptor-gamma coactivator (PGC1-α), transcription factor A (TFAM), DNA polymerase subunit gamma (POLG), and other mitochondrial quality control genes."	35290147
caused_by	lung disease	Disease	MONDO:0005275	PM2.5	Compound	MESH:D052638	"Therefore, our results support that industrial PM2.5 extracts-induced activation of the RhoA/ROCK-dependent NF-кB pathway induces pulmonary adverse effect."	28535594
increased_by	RhoA	Gene	ENTREZ:387	PM2.5	Compound	MESH:D052638	"Therefore, our results support that industrial PM2.5 extracts-induced activation of the RhoA/ROCK-dependent NF-кB pathway induces pulmonary adverse effect."	28535594
activated_by	NF-кB pathway	Pathway	KEGG:hsa04064	ROCK	Gene	ENTREZ:6093	"Therefore, our results support that industrial PM2.5 extracts-induced activation of the RhoA/ROCK-dependent NF-кB pathway induces pulmonary adverse effect."	28535594
activated_by	TP53	Gene	ENTREZ:7157	PM2.5	Compound	MESH:D052638	"Accordingly, activation of the TP53-RB gene signaling pathways after the coculture model exposure to PM2.5-0.3 was reported in the L132 cells."	26874047
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	long COVID	Disease	MONDO:0100233	"Our long COVID cohort's symptoms were found to be in line with global findings, where the most prevalent symptoms were constant fatigue (74%,) cognitive impairment (71%) and depression and anxiety (30%)."	36131342
Hetionet::DdG::Disease:Gene	plasma Kallikrein	Gene	ENTREZ:3700	long COVID	Disease	MONDO:0100233	"Our most noteworthy findings were a reduced level of plasma Kallikrein compared to our controls, an increased level of platelet factor 4 (PF4) von Willebrand factor (VWF), and a marginally increased level of α-2 antiplasmin (α-2-AP)."	36131342
PrimeKG::interacts_with:Gene:BiologicalProcess	platelet factor 4	Gene	ENTREZ:5196	platelet hyperactivation	BiologicalProcess	GO:0030168	"Hyperactivation will result in the granular content of platelets being shed into the circulation, including PF4."	36131342
